JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Sales Consultant,Motion LP,"Penticton, BC",Posted22 days ago,2022-08-06,"_*You have a valid driver's license and a clean driving record.
*_Education. _*Post-secondary degree or diploma in a relevant program (business, sales,…",Full-time,Healthcare,ca.indeed.com/company/Motion-(formerly-Motion-Specialties)/jobs/Sales-Consultant-63515a9b4dfebf44?fccid=f8cab2ad0d206f6e&vjs=3
Social Worker,Summerland Seniors Village,"Summerland, BC",Posted18 days ago,2022-08-06,"Acts as liaison with community agencies and professionals regarding resident’s needs, and interprets the facilities function to the community.",Part-time,Healthcare,ca.indeed.com/rc/clk?jk=2ec02e246b87c864&fccid=bfd33c1c9e058c81&vjs=3
Seeking Casual Care Aides & Community Health Workers In The Penticton And Summerland Area!,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Current valid BC Drivers’ License and use of a reliable vehicle (for CHW only).
Working under the direction of nurses, LTCA’s have key responsibilities in the…",$23.27–$25.45 an hour,Healthcare,ca.indeed.com/rc/clk?jk=6e0c24a434788a31&fccid=819aaf068231c6d3&vjs=3
Mhsu Substance Use Clinician | Early Substance Use Intervention Services,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Current valid B.C. driver’s license.
The MHSU Substance Use Clinician provides, at the advanced practice level, assessment, treatment, service coordination and,…",Part-time +1,Healthcare,ca.indeed.com/rc/clk?jk=7a7fc62d185731fb&fccid=819aaf068231c6d3&vjs=3
Dietitian,Summerland Seniors Village,"Remote in Summerland, BC",Posted18 days ago,2022-08-06,"Review nutrition care plans at least once within 12 weeks of admission or more often as needed.
Ensure that meals and snacks meet the requirements of the most…",Part-time,Healthcare,ca.indeed.com/rc/clk?jk=42c094fdee2a8de1&fccid=bfd33c1c9e058c81&vjs=3
Housekeeping Aide,Sienna Senior Living,"Penticton, BC",Posted22 days ago,2022-08-06,"Ensuring the daily neatness and cleanliness of residents’ rooms, offices and common areas including, but not limited to, rooms and equipment including:…",$15.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=705f00a7b82d57b3&fccid=7b61a73576f746ae&vjs=3
Clinical Dietitian | Home Health,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted7 days ago,2022-08-06,The Clinical Dietitian provides input to the Professional Practice Leader by participating in the development of nutrition practice guidelines and procedures;…,Temporary +1,Healthcare,ca.indeed.com/rc/clk?jk=48442805282ad0b7&fccid=819aaf068231c6d3&vjs=3
Food Service Supervisor,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted9 days ago,2022-08-06,"Coordinates meal preparation, pricing and other related duties for community based services such as Meals on Wheels.
Ability to deal with others effectively.",,Healthcare,ca.indeed.com/rc/clk?jk=78656efe08a3ee87&fccid=819aaf068231c6d3&vjs=3
Community Rehabilitation Assistant | Casual Pool,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"The Community Rehabilitation Assistant assists clients with activities of daily living, and implements group and individual programs in clients’ homes and other…",,Healthcare,ca.indeed.com/rc/clk?jk=dc56d5089b50f1e4&fccid=819aaf068231c6d3&vjs=3
Guest Service Attendant,Sienna Senior Living,"Penticton, BC",Posted22 days ago,2022-08-06,"Ensures the daily neatness and cleanliness of residents’ rooms, offices and common areas including, but not limited to, rooms and equipment including: furniture…",$15.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=6d8cf157a424f770&fccid=7b61a73576f746ae&vjs=3
Food Service Supervisor,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted9 days ago,2022-08-06,"Coordinates meal preparation, pricing and other related duties for community based services such as Meals on Wheels.
Ability to deal with others effectively.",,Healthcare,ca.indeed.com/rc/clk?jk=78656efe08a3ee87&fccid=819aaf068231c6d3&vjs=3
Community Rehabilitation Assistant | Casual Pool,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"The Community Rehabilitation Assistant assists clients with activities of daily living, and implements group and individual programs in clients’ homes and other…",,Healthcare,ca.indeed.com/rc/clk?jk=dc56d5089b50f1e4&fccid=819aaf068231c6d3&vjs=3
Guest Service Attendant,Sienna Senior Living,"Penticton, BC",Posted22 days ago,2022-08-06,"Ensures the daily neatness and cleanliness of residents’ rooms, offices and common areas including, but not limited to, rooms and equipment including: furniture…",$15.65 an hour,Healthcare,ca.indeed.com/rc/clk?jk=6d8cf157a424f770&fccid=7b61a73576f746ae&vjs=3
Health Care Assistant (Patient Care Aide) – Multiple Part Time And Full Time Opportunities Available,INTERIOR HEALTH AUTHORITY,"Penticton, BC",Posted30+ days ago,2022-08-06,"Working under the direction of RN’s and LPN’s, Patient Care Aides follow established care plans and routines to deliver the best patient care possible.",Part-time +1,Healthcare,ca.indeed.com/rc/clk?jk=459b5e75b6b8a63a&fccid=819aaf068231c6d3&vjs=3
Resident Care Aide,Summerland Seniors Village,"Summerland, BC",Posted18 days ago,2022-08-06,"Respects and attends to the emotional, psychosocial, spiritual and cultural beliefs & practices of the residents; encouraging and assisting residents to…",,Healthcare,ca.indeed.com/rc/clk?jk=853405ab38e637e2&fccid=bfd33c1c9e058c81&vjs=3
Therapeutic Recreation Manager,Summerland Seniors Village,"Summerland, BC",Posted18 days ago,2022-08-06,"Liaises with community agencies, groups and individuals to augment programs and promote the facility within the community.
Current Food Safe Certification.",Full-time,Healthcare,ca.indeed.com/rc/clk?jk=435190fbd7527a8c&fccid=bfd33c1c9e058c81&vjs=3
Veterinary Technician,Lindsey Veterinary Hospital,"Penticton, BC",Posted30+ days ago,2022-08-06,"Work with board certified anesthesiologist via telemedicine.
Staff outings and suppers (winter tubing, concerts, etc- pre COVID).",Part-time +1,Healthcare,ca.indeed.com/rc/clk?jk=d3d561b3df824535&fccid=aae2a27b439cadd3&vjs=3
